Streamer,Date,Duration,Viewers
alanzoka,2020-06-08T18:34:32Z,6h37m42s,60216
alanzoka,2020-06-05T18:12:37Z,7h6m1s,77750
alanzoka,2020-06-04T18:25:08Z,7h15m0s,93576
alanzoka,2020-06-03T19:28:39Z,5h36m20s,50150
alanzoka,2020-06-02T18:17:23Z,7h5m8s,50355
alanzoka,2020-06-02T06:24:46Z,3h44m3s,25314
alanzoka,2020-06-01T18:27:28Z,7h9m56s,49810
alanzoka,2020-06-01T18:23:39Z,44s,14232
alanzoka,2020-06-01T18:18:13Z,58s,12505
alanzoka,2020-05-30T02:53:02Z,6h3m41s,39224
alanzoka,2020-05-29T18:26:39Z,6h57m36s,55337
alanzoka,2020-05-29T02:57:27Z,6h49m29s,45561
alanzoka,2020-05-28T18:25:30Z,7h25m30s,48311
alanzoka,2020-05-28T05:46:28Z,5h34m3s,43910
alanzoka,2020-05-28T05:44:14Z,6h46m44s,91183
alanzoka,2020-05-27T18:18:16Z,7h20m26s,89884
alanzoka,2020-05-26T19:25:10Z,3m2s,30603
alanzoka,2020-05-26T19:23:45Z,12s,18987
alanzoka,2020-05-26T19:13:43Z,5m48s,9269
alanzoka,2020-05-26T18:55:31Z,15m54s,8689
alanzoka,2020-05-26T18:30:45Z,22m37s,11543
alanzoka,2020-05-25T18:43:26Z,5h38m54s,88123
alanzoka,2020-05-22T18:32:46Z,7h43m46s,170273
alanzoka,2020-05-21T18:15:12Z,6h34m36s,75652
alanzoka,2020-05-21T02:30:45Z,6h47m56s,79626
alanzoka,2020-05-21T02:29:31Z,5h33m28s,73934
alanzoka,2020-05-21T02:28:25Z,4h34m21s,102735
alanzoka,2020-05-20T18:23:37Z,7h19m58s,72571
alanzoka,2020-05-19T18:20:28Z,6h7m50s,89406
alanzoka,2020-05-18T18:21:13Z,7h28m12s,114200
alanzoka,2020-05-16T03:59:42Z,4h8m21s,40891
alanzoka,2020-05-15T18:25:51Z,6h29m54s,75385
alanzoka,2020-05-15T03:07:55Z,5h23m53s,38728
alanzoka,2020-05-14T17:44:25Z,8h44m48s,79498
alanzoka,2020-05-13T04:02:57Z,4h30m3s,43390
alanzoka,2020-05-13T04:01:51Z,1h35m47s,20476
alanzoka,2020-05-13T04:00:45Z,2h44m43s,46710
alanzoka,2020-05-13T03:59:23Z,11m1s,26513
alanzoka,2020-05-12T21:59:03Z,4h52m30s,42525
alanzoka,2020-05-12T18:20:48Z,3h35m14s,36539
alanzoka,2020-05-11T19:39:13Z,6h13m38s,70231
alanzoka,2020-05-11T18:23:02Z,1h12m24s,19706
alanzoka,2020-05-08T18:15:48Z,7h38m9s,83452
alanzoka,2020-05-07T19:53:35Z,6h43m4s,48915
alanzoka,2020-05-07T18:23:16Z,1h26m56s,16524
alanzoka,2020-05-06T18:14:32Z,9h47m10s,73602
alanzoka,2020-05-05T17:38:13Z,10h8m23s,117772
alanzoka,2020-05-05T17:27:46Z,7m40s,9607
alanzoka,2020-05-05T17:26:37Z,28s,19202
alanzoka,2020-05-05T17:25:16Z,1m8s,13751
alanzoka,2020-05-05T17:20:57Z,4m4s,5300
alanzoka,2020-05-04T19:18:19Z,7h50m14s,60469
alanzoka,2020-05-01T18:15:43Z,7h43m43s,82539
alanzoka,2020-04-30T18:31:26Z,7h39m34s,57640
alanzoka,2020-04-29T18:21:17Z,8h27m34s,76333
alanzoka,2020-04-28T18:25:29Z,7h35m24s,49390
alanzoka,2020-04-27T18:15:40Z,11h48m18s,167261
alanzoka,2020-04-24T18:09:10Z,11h13m3s,188608
alanzoka,2020-04-24T15:35:06Z,1h35m13s,9088
alanzoka,2020-04-23T18:26:26Z,7h56m43s,106680
alanzoka,2020-04-22T18:48:38Z,6h30m48s,87777
